,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OPRM1,93.46921442959763,4.6504861936042605,0.4026591428587336,11.549436480164086,7.430603702157054e-31,2.5962529335336746e-28
RPS12,115.55766573864348,-2.6665539211719183,0.23195092757386382,-11.496198566926468,1.3785412681248863e-30,4.7119139910277365e-28
TOMM7,16.03524735149822,-3.3970127158064263,0.29626408382960306,-11.466164483711855,1.9511722135360473e-30,6.391308481964015e-28
RPL18A,85.06478124890995,-3.393686499613395,0.2959548075405723,-11.466907828987223,1.934488315062464e-30,6.391308481964015e-28
FLT1,105.31531711941815,5.074550070688839,0.44276535362498076,11.461036933316485,2.0702124714390034e-30,6.642847079272541e-28
FPR3,36.47851995473031,4.052273260046932,0.3549414292835329,11.416737877645472,3.449394748887629e-30,1.0846966727352037e-27
DDX58,166.99842976725697,3.0575601418753817,0.268449057572119,11.389722018502397,4.70488280660956e-30,1.450487693496512e-27
OASL,62.84161597591225,3.8386939231784667,0.33778382611922014,11.364350884650133,6.293051025369437e-30,1.9028007936900704e-27
CXCL9,110.7047175480558,4.065961142465317,0.35817101709142546,11.352010487848753,7.247674946647484e-30,2.1500979846441203e-27
CKB,19.110767793780603,-3.5256830229353757,0.31186635467068896,-11.305108647126339,1.2380083628094033e-29,3.604667683046713e-27
RPL27,54.28030383112432,-2.604748361410577,0.2307981731370583,-11.285827465643589,1.541837855005125e-29,4.407693926226469e-27
GBP1,319.3105302387287,2.8146214414129704,0.25048089297779713,11.236870836541058,2.68739985129436e-29,7.545354975339505e-27
RPS27,115.15701222119917,-2.8811896517362348,0.2606380898816036,-11.05436911790227,2.0879962393797416e-28,5.759572784520645e-26
RPS15A,137.95376406556002,-2.5034353553986977,0.22683521617494554,-11.036361097775643,2.551584915885241e-28,6.91699476421787e-26
EEF1G,182.50988067506734,-2.61210854454281,0.23739634701093953,-11.003153912989406,3.6899597412819533e-28,9.748607634156524e-26
RPS14,131.15206926124347,-2.6992503678644657,0.24533243007540181,-11.0024197250843,3.7201326594758724e-28,9.748607634156524e-26
DDX60L,279.0032565571467,3.3462845773719168,0.30496921670321836,10.972532288819048,5.180096329872044e-28,1.3351910589275105e-25
CRIP1,28.657994255060327,-4.2219047197013335,0.3874043635678175,-10.897927635144624,1.1791223978884332e-27,2.990216364838683e-25
RPL7A,164.49572702417768,-2.408700531811538,0.22113295818424672,-10.89254424844542,1.2509581899660663e-27,3.122034225529597e-25
ALDH3A1,114.13900702012484,-2.8473684467011933,0.2615053783727581,-10.888374321091261,1.3095701199278763e-27,3.2172454680665622e-25
SIGLEC1,28.78475662156483,4.4926144661385505,0.4128229755951556,10.882665771355558,1.394248249251922e-27,3.3725792650750726e-25
